央视,#genre#
CCTV怀旧剧场,http://ha.xushining.com:50000/rtp/225.1.2.173:5002
CCTV风云剧场,http://110.177.146.152:888/udp/239.1.1.93:8093
CCTV风云剧场,http://60.7.56.33:4000/rtp/239.253.92.22:6073
CCTV风云剧场,http://ha.xushining.com:50000/rtp/225.1.2.174:5002
CCTV风云足球,http://110.177.146.152:888/udp/239.1.1.101:8101
CCTV文化精品,http://60.7.56.33:4000/rtp/239.253.92.25:6104
CCTV文化精品,http://110.177.146.152:888/udp/239.1.1.91:8091
CCTV文化精品,http://ha.xushining.com:50000/rtp/225.1.2.177:5002
CCTV世界地理,http://ha.xushining.com:50000/rtp/225.1.2.171:5002
CCTV电视指南,http://60.7.56.33:4000/rtp/239.253.92.17:6078
CCTV电视指南,http://ha.xushining.com:50000/rtp/225.1.2.167:5002
CCTV高尔夫网球,http://ha.xushining.com:50000/rtp/225.1.2.169:5002

卫视,#genre#

安徽卫视,http://222.169.85.8:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://111.14.181.15:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://221.196.136.66:1/udp/225.1.2.31:5002
甘肃卫视,http://118.122.189.74:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://118.122.189.74:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://221.196.136.66:1/udp/225.1.2.81:5002
广西卫视,http://222.169.85.8:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://61.138.128.226:19901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://113.57.20.158:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://118.122.189.74:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://222.169.85.8:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://61.136.172.236:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
