河南频道,#genre#
安徽卫视,http://58.19.38.162:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://123.138.22.30:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://101.74.28.73:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://101.74.30.156:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://123.138.22.30:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://101.74.28.73:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://101.74.30.149:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.138.22.30:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.138.22.30:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://101.74.28.73:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://101.74.30.149:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://101.74.30.128:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://101.74.30.156:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://123.129.70.178:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://101.74.28.73:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://123.129.70.178:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://14.212.185.141:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://123.138.22.30:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://123.138.22.30:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://123.129.70.178:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://123.138.22.30:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://123.138.22.30:9901/tsfile/live/0111_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://58.19.38.162:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://123.138.22.30:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://123.129.70.178:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://123.138.22.30:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://123.129.70.178:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://123.138.22.30:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://123.138.22.30:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://14.212.185.141:9901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://14.212.185.141:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0

广电频道,#genre#

CCTV1,http://49.232.131.30:99/gd.php?id=G_CCTV-1-CQ
CCTV2,http://49.232.131.30:99/gd.php?id=G_CCTV-2-CQ
CCTV3,http://49.232.131.30:99/gd.php?id=G_CCTV-3-CQ
CCTV4,http://49.232.131.30:99/gd.php?id=G_CCTV-4-CQ
CCTV5,http://49.232.131.30:99/gd.php?id=G_CCTV-5-CQ
CCTV5,http://49.232.131.30:99/gd.php?id=G_CCTV-6-CQ
CCTV5+,http://49.232.131.30:99/gd.php?id=G_CCTV-5PLUS-CQ
CCTV7,http://49.232.131.30:99/gd.php?id=G_CCTV-7-CQ
CCTV8,http://49.232.131.30:99/gd.php?id=G_CCTV-8-CQ
CCTV9,http://49.232.131.30:99/gd.php?id=G_CCTV-9-CQ
CCTV10,http://49.232.131.30:99/gd.php?id=G_CCTV-10-CQ
CCTV11,http://49.232.131.30:99/gd.php?id=G_CCTV-11-CQ
CCTV12,http://49.232.131.30:99/gd.php?id=G_CCTV-12-CQ
CCTV13,http://49.232.131.30:99/gd.php?id=G_CCTV-13-CQ
CCTV14,http://49.232.131.30:99/gd.php?id=G_CCTV-14-CQ
CCTV15,http://49.232.131.30:99/gd.php?id=G_CCTV-15-CQ
CCTV16,http://49.232.131.30:99/gd.php?id=G_CCTV-16-CQ
CCTV17,http://49.232.131.30:99/gd.php?id=G_CCTV-17-CQ
CGTN,http://49.232.131.30:99/gd.php?id=G_CCTV-NEWS
广东卫视,http://49.232.131.30:99/gd.php?id=G_GUANGDONG-CQ
江苏卫视,http://49.232.131.30:99/gd.php?id=G_JIANGSU-CQ
浙江卫视,http://49.232.131.30:99/gd.php?id=G_ZHEJIANG-CQ
